 ,Area,Mean,Min,Max,X,Y,,,,,
1,192,255,255,255,107,52,,,,,
2,192,255,255,255,165,55,,,,,
3,192,255,255,255,235,60,,,,X,Y
4,192,255,255,255,47,84,,,MAX,945,543
5,192,255,255,255,144,88,,,MIN,47,52
6,192,255,255,255,94,97,,,,,
7,192,255,255,255,207,99,,,,,
8,192,255,255,255,53,112,,,,,
9,192,255,255,255,230,115,,,,,
10,192,255,255,255,173,124,,,,,
11,192,255,255,255,126,125,,,,,
12,192,255,255,255,205,129,,,,,
13,192,255,255,255,66,154,,,,,
14,192,255,255,255,239,158,,,,,
15,192,255,255,255,185,165,,,,,
16,192,255,255,255,123,169,,,,,
17,192,255,255,255,231,221,,,,,
18,192,255,255,255,149,260,,,,,
19,192,255,255,255,328,360,,,,,
20,192,255,255,255,489,411,,,,,
21,192,255,255,255,860,411,,,,,
22,192,255,255,255,411,420,,,,,
23,192,255,255,255,817,421,,,,,
24,192,255,255,255,888,436,,,,,
25,192,255,255,255,862,437,,,,,
26,192,255,255,255,452,440,,,,,
27,192,255,255,255,513,443,,,,,
28,192,255,255,255,789,450,,,,,
29,192,255,255,255,823,450,,,,,
30,192,255,255,255,399,459,,,,,
31,192,255,255,255,893,461,,,,,
32,192,255,255,255,919,461,,,,,
33,192,255,255,255,491,463,,,,,
34,192,255,255,255,862,463,,,,,
35,192,255,255,255,237,477,,,,,
36,192,255,255,255,422,477,,,,,
37,192,255,255,255,811,484,,,,,
38,192,255,255,255,506,490,,,,,
39,192,255,255,255,793,491,,,,,
40,192,255,255,255,837,491,,,,,
41,192,255,255,255,912,494,,,,,
42,192,255,255,255,884,497,,,,,
43,192,255,255,255,851,502,,,,,
44,192,255,255,255,945,505,,,,,
45,192,255,255,255,473,507,,,,,
46,192,255,255,255,376,516,,,,,
47,192,255,255,255,511,527,,,,,
48,192,255,255,255,884,529,,,,,
49,192,255,255,255,431,534,,,,,
50,192,255,255,255,448,543,,,,,
