 ,Area,Mean,Min,Max,X,Y
1,80,255,255,255,305,82
2,80,255,255,255,97,89
3,80,255,255,255,329,90
4,80,255,255,255,276,93
5,80,255,255,255,107,102
6,80,255,255,255,303,102
7,80,255,255,255,89,104
8,80,255,255,255,142,107
9,80,255,255,255,98,115
10,80,255,255,255,111,124
11,80,255,255,255,89,131
12,80,255,255,255,124,133
13,80,255,255,255,110,143
14,80,255,255,255,131,146
15,80,255,255,255,85,152
16,80,255,255,255,104,156
17,80,255,255,255,126,157
18,80,255,255,255,369,166
19,80,255,255,255,349,168
20,80,255,255,255,367,182
21,80,255,255,255,349,185
22,80,255,255,255,219,189
23,80,255,255,255,221,213
24,80,255,255,255,379,260
25,80,255,255,255,346,265
26,80,255,255,255,400,271
27,80,255,255,255,390,280
28,90,255,255,255,358,281.500
29,80,255,255,255,371,288
30,80,255,255,255,147,290
31,80,255,255,255,128,292
32,80,255,255,255,107,294
33,80,255,255,255,166,295
34,80,255,255,255,348,299
35,80,255,255,255,383,303
36,80,255,255,255,405,305
37,80,255,255,255,151,308
38,80,255,255,255,371,309
39,80,255,255,255,128,311
40,80,255,255,255,383,316
41,80,255,255,255,102,320
42,80,255,255,255,119,326
43,80,255,255,255,373,326
44,80,255,255,255,142,327
45,80,255,255,255,164,331
46,80,255,255,255,390,333
47,80,255,255,255,232,372
48,80,255,255,255,212,380
49,80,255,255,255,199,387
50,80,255,255,255,226,392
51,80,255,255,255,243,393
52,80,255,255,255,266,399
53,80,255,255,255,212,403
54,80,255,255,255,235,408
55,80,255,255,255,82,412
56,80,255,255,255,190,413
57,80,255,255,255,91,422
58,80,255,255,255,257,424
59,80,255,255,255,231,427
60,80,255,255,255,210,430
