 ,Area,Mean,Min,Max,X,Y
1,135,255,255,255,434.500,11.500
2,80,255,255,255,377.000,14.000
3,88,255,255,255,220.784,16.580
4,80,255,255,255,340.000,17.000
5,80,255,255,255,271.000,27.000
6,80,255,255,255,217.000,35.000
7,80,255,255,255,222.000,52.000
8,80,255,255,255,106.000,55.000
9,80,255,255,255,258.000,57.000
10,80,255,255,255,421.000,61.000
11,80,255,255,255,473.000,61.000
12,80,255,255,255,143.000,63.000
13,80,255,255,255,116.000,67.000
14,80,255,255,255,250.000,76.000
15,80,255,255,255,295.000,78.000
16,80,255,255,255,305.000,93.000
17,80,255,255,255,395.000,103.000
18,80,255,255,255,257.000,108.000
19,80,255,255,255,156.000,115.000
20,80,255,255,255,420.000,115.000
21,80,255,255,255,197.000,127.000
22,80,255,255,255,480.000,127.000
23,135,255,255,255,90.500,136.500
24,80,255,255,255,67.000,139.000
25,80,255,255,255,35.000,156.000
26,80,255,255,255,353.000,156.000
27,80,255,255,255,422.000,158.000
28,80,255,255,255,477.000,177.000
29,80,255,255,255,416.000,186.000
30,80,255,255,255,127.000,193.000
31,80,255,255,255,30.000,196.000
32,80,255,255,255,231.000,197.000
33,168,255,255,255,13.524,207.000
34,80,255,255,255,163.000,208.000
35,80,255,255,255,446.000,209.000
36,80,255,255,255,344.000,216.000
37,80,255,255,255,29.000,230.000
38,80,255,255,255,107.000,232.000
39,80,255,255,255,181.000,252.000
40,80,255,255,255,315.000,260.000
41,80,255,255,255,474.000,264.000
42,80,255,255,255,257.000,266.000
43,80,255,255,255,363.000,268.000
44,80,255,255,255,340.000,270.000
45,80,255,255,255,131.000,271.000
46,80,255,255,255,422.000,279.000
47,80,255,255,255,228.000,280.000
48,80,255,255,255,212.000,299.000
49,110,255,255,255,352.000,301.500
50,80,255,255,255,67.000,302.000
51,80,255,255,255,328.000,305.000
52,80,255,255,255,460.000,305.000
53,80,255,255,255,239.000,307.000
54,80,255,255,255,11.000,312.000
55,80,255,255,255,380.000,318.000
56,80,255,255,255,241.000,319.000
57,80,255,255,255,49.000,324.000
58,80,255,255,255,221.000,328.000
59,80,255,255,255,430.000,329.000
60,80,255,255,255,129.000,332.000
61,80,255,255,255,21.000,339.000
62,80,255,255,255,189.000,348.000
63,80,255,255,255,132.000,349.000
64,80,255,255,255,158.000,350.000
65,80,255,255,255,101.000,361.000
66,80,255,255,255,360.000,366.000
67,80,255,255,255,55.000,367.000
68,80,255,255,255,432.000,376.000
69,80,255,255,255,140.000,379.000
70,80,255,255,255,209.000,391.000
71,80,255,255,255,82.000,393.000
72,80,255,255,255,412.000,399.000
73,80,255,255,255,152.000,405.000
74,80,255,255,255,354.000,406.000
75,80,255,255,255,469.000,409.000
76,80,255,255,255,299.000,413.000
77,80,255,255,255,273.000,426.000
78,80,255,255,255,246.000,436.000
79,80,255,255,255,54.000,438.000
80,80,255,255,255,454.000,439.000
81,80,255,255,255,28.000,446.000
82,80,255,255,255,364.000,452.000
83,80,255,255,255,16.000,453.000
84,80,255,255,255,290.000,454.000
85,80,255,255,255,107.000,455.000
86,80,255,255,255,76.000,462.000
87,80,255,255,255,165.000,466.000
88,80,255,255,255,186.000,468.000
89,80,255,255,255,436.000,483.000
90,80,255,255,255,211.000,489.000
