 ,Area,Mean,Min,Max,X,Y
1,80,255,255,255,109.000,99.000
2,138,255,255,255,117.500,110.000
3,80,255,255,255,64.000,109.000
4,80,255,255,255,158.000,117.000
5,80,255,255,255,102.000,121.000
6,157,255,255,255,63.500,124.500
7,158,255,255,255,76.500,145.000
8,160,255,255,255,119.000,148.000
9,363,255,255,255,145.613,155.145
10,80,255,255,255,52.000,146.000
11,80,255,255,255,345.000,167.000
12,80,255,255,255,121.000,171.000
13,80,255,255,255,98.000,174.000
14,80,255,255,255,296.000,180.000
15,80,255,255,255,309.000,189.000
16,80,255,255,255,430.000,192.000
17,225,255,255,255,286.220,197.704
18,80,255,255,255,361.000,197.000
19,80,255,255,255,350.000,198.000
20,80,255,255,255,471.000,199.000
21,160,255,255,255,307.500,204.500
22,80,255,255,255,261.000,206.000
23,80,255,255,255,427.000,213.000
24,80,255,255,255,351.000,216.000
25,280,255,255,255,286.632,223.511
26,80,255,255,255,445.000,225.000
27,80,255,255,255,485.000,227.000
28,140,255,255,255,318.500,232.000
29,80,255,255,255,368.000,239.000
30,80,255,255,255,265.000,242.000
31,80,255,255,255,420.000,250.000
32,80,255,255,255,379.000,255.000
33,218,255,255,255,409.220,262.385
34,80,255,255,255,478.000,259.000
35,80,255,255,255,431.000,260.000
36,80,255,255,255,307.000,263.000
37,80,255,255,255,481.000,283.000
38,90,255,255,255,435.000,289.500
39,80,255,255,255,493.000,294.000
40,80,255,255,255,425.000,299.000
41,80,255,255,255,415.000,332.000
42,80,255,255,255,408.000,341.000
43,236,255,255,255,398.657,360.335
44,129,255,255,255,428.500,386.500
45,80,255,255,255,136.000,389.000
46,197,255,255,255,357.490,395.165
47,80,255,255,255,418.000,397.000
48,200,255,255,255,403.500,404.000
49,90,255,255,255,376.000,399.500
50,140,255,255,255,374.000,420.000
51,160,255,255,255,109.000,423.000
52,80,255,255,255,399.000,419.000
53,80,255,255,255,164.000,423.000
54,80,255,255,255,121.000,426.000
55,80,255,255,255,179.000,430.000
56,80,255,255,255,212.000,432.000
57,80,255,255,255,151.000,445.000
58,80,255,255,255,116.000,447.000
59,80,255,255,255,436.000,450.000
60,80,255,255,255,169.000,453.000
61,299,255,255,255,146.978,462.597
62,80,255,255,255,102.000,463.000
63,129,255,255,255,166.500,463.500
64,80,255,255,255,447.000,475.000
65,80,255,255,255,120.000,476.000
