 ,Area,Mean,Min,Max,X,Y
1,80,255,255,255,89,84
2,80,255,255,255,122,89
3,80,255,255,255,343,90
4,80,255,255,255,315,97
5,80,255,255,255,109,103
6,80,255,255,255,130,112
7,80,255,255,255,97,113
8,80,255,255,255,323,114
9,80,255,255,255,344,114
10,80,255,255,255,70,120
11,80,255,255,255,117,133
12,80,255,255,255,144,134
13,80,255,255,255,92,135
14,80,255,255,255,129,149
15,80,255,255,255,93,156
16,80,255,255,255,111,158
17,80,255,255,255,360,171
18,80,255,255,255,373,180
19,80,255,255,255,359,187
20,80,255,255,255,351,200
21,80,255,255,255,376,200
22,80,255,255,255,233,202
23,80,255,255,255,240,218
24,80,255,255,255,100,273
25,80,255,255,255,124,279
26,80,255,255,255,386,282
27,80,255,255,255,81,285
28,80,255,255,255,412,292
29,80,255,255,255,399,295
30,80,255,255,255,109,296
31,80,255,255,255,130,299
32,80,255,255,255,87,302
33,80,255,255,255,370,304
34,80,255,255,255,389,312
35,80,255,255,255,412,312
36,80,255,255,255,112,315
37,80,255,255,255,358,321
38,80,255,255,255,97,323
39,80,255,255,255,382,330
40,80,255,255,255,398,339
41,80,255,255,255,363,340
42,80,255,255,255,381,356
43,80,255,255,255,397,367
44,80,255,255,255,174,368
45,80,255,255,255,372,368
46,80,255,255,255,207,371
47,80,255,255,255,194,374
48,80,255,255,255,351,375
49,80,255,255,255,383,384
50,80,255,255,255,178,390
51,80,255,255,255,353,391
52,80,255,255,255,191,395
53,80,255,255,255,163,398
54,80,255,255,255,208,404
55,80,255,255,255,75,411
56,80,255,255,255,169,412
57,80,255,255,255,189,414
58,80,255,255,255,206,417
59,80,255,255,255,87,423
60,80,255,255,255,174,425
