"ImageID","Threshold","n_total","n_EdUpos","result"
1,"High",29,5,"no deviation"
1,"Low",29,5,"no deviation"
2,"High",142,41,"no deviation"
2,"Low",142,47,"no deviation"
3,"High",152,29,"no deviation"
3,"Low",152,41,"no deviation"
4,"High",17,3,"skipped - too few cells"
4,"Low",17,4,"skipped - too few cells"
5,"High",84,27,"no deviation"
5,"Low",84,30,"no deviation"
6,"High",124,36,"no deviation"
6,"Low",124,44,"no deviation"
7,"High",35,7,"no deviation"
7,"Low",35,7,"no deviation"
8,"High",91,38,"no deviation"
8,"Low",91,44,"no deviation"
9,"High",58,16,"no deviation"
9,"Low",58,20,"no deviation"
10,"High",66,16,"clustered"
10,"Low",66,18,"no deviation"
11,"High",80,25,"no deviation"
11,"Low",80,27,"no deviation"
12,"High",87,22,"no deviation"
12,"Low",87,23,"no deviation"
13,"High",48,8,"no deviation"
13,"Low",48,9,"no deviation"
14,"High",65,12,"no deviation"
14,"Low",65,14,"no deviation"
15,"High",75,25,"no deviation"
15,"Low",75,27,"no deviation"
16,"High",58,22,"no deviation"
16,"Low",58,23,"no deviation"
17,"High",50,11,"no deviation"
17,"Low",50,13,"no deviation"
18,"High",44,12,"no deviation"
18,"Low",44,13,"no deviation"
19,"High",63,15,"no deviation"
19,"Low",63,17,"no deviation"
20,"High",79,19,"clustered"
20,"Low",79,20,"clustered"
21,"High",118,36,"no deviation"
21,"Low",118,47,"no deviation"
22,"High",73,17,"no deviation"
22,"Low",73,21,"no deviation"
23,"High",58,19,"no deviation"
23,"Low",58,24,"no deviation"
24,"High",43,10,"no deviation"
24,"Low",43,13,"no deviation"
25,"High",31,8,"no deviation"
25,"Low",31,8,"no deviation"
26,"High",18,3,"skipped - too few cells"
26,"Low",18,4,"skipped - too few cells"
