 ,Area,Mean,Min,Max,X,Y,,,,,
1,80,255,255,255,55,55,,,,,
2,80,255,255,255,100,55,,,,,
3,80,255,255,255,145,55,,,,X,Y
4,80,255,255,255,190,55,,,MAX,460,415
5,80,255,255,255,235,55,,,MIN,55,55
6,80,255,255,255,280,55,,,,,
7,80,255,255,255,325,55,,,,,
8,80,255,255,255,370,55,,,,,
9,80,255,255,255,415,55,,,,,
10,80,255,255,255,460,55,,,,,
11,80,255,255,255,55,145,,,,,
12,80,255,255,255,100,145,,,,,
13,80,255,255,255,145,145,,,,,
14,80,255,255,255,190,145,,,,,
15,80,255,255,255,235,145,,,,,
16,80,255,255,255,280,145,,,,,
17,80,255,255,255,325,145,,,,,
18,80,255,255,255,370,145,,,,,
19,80,255,255,255,415,145,,,,,
20,80,255,255,255,460,145,,,,,
21,80,255,255,255,55,235,,,,,
22,80,255,255,255,100,235,,,,,
23,80,255,255,255,145,235,,,,,
24,80,255,255,255,190,235,,,,,
25,80,255,255,255,235,235,,,,,
26,80,255,255,255,280,235,,,,,
27,80,255,255,255,325,235,,,,,
28,80,255,255,255,370,235,,,,,
29,80,255,255,255,415,235,,,,,
30,80,255,255,255,460,235,,,,,
31,80,255,255,255,55,325,,,,,
32,80,255,255,255,100,325,,,,,
33,80,255,255,255,145,325,,,,,
34,80,255,255,255,190,325,,,,,
35,80,255,255,255,235,325,,,,,
36,80,255,255,255,280,325,,,,,
37,80,255,255,255,325,325,,,,,
38,80,255,255,255,370,325,,,,,
39,80,255,255,255,415,325,,,,,
40,80,255,255,255,460,325,,,,,
41,80,255,255,255,55,415,,,,,
42,80,255,255,255,100,415,,,,,
43,80,255,255,255,145,415,,,,,
44,80,255,255,255,190,415,,,,,
45,80,255,255,255,235,415,,,,,
46,80,255,255,255,280,415,,,,,
47,80,255,255,255,325,415,,,,,
48,80,255,255,255,370,415,,,,,
49,80,255,255,255,415,415,,,,,
50,80,255,255,255,460,415,,,,,
