 ,Area,Mean,Min,Max,X,Y,,,,,
1,177,255,255,255,26.5,14.5,,,,,
2,177,255,255,255,145.5,22.5,,,,X,Y
3,177,255,255,255,632.5,49.5,,,MAX,933.5,584.5
4,177,255,255,255,68.5,62.5,,,MIN,22.5,14.5
5,177,255,255,255,504.5,76.5,,,,,
6,177,255,255,255,813.5,80.5,,,,,
7,177,255,255,255,933.5,83.5,,,,,
8,177,255,255,255,293.5,92.5,,,,,
9,177,255,255,255,167.5,95.5,,,,,
10,177,255,255,255,22.5,103.5,,,,,
11,177,255,255,255,393.5,103.5,,,,,
12,177,255,255,255,60.5,123.5,,,,,
13,177,255,255,255,893.5,123.5,,,,,
14,177,255,255,255,261.5,131.5,,,,,
15,177,255,255,255,626.5,139.5,,,,,
16,177,255,255,255,780.5,161.5,,,,,
17,177,255,255,255,331.5,173.5,,,,,
18,177,255,255,255,802.5,201.5,,,,,
19,177,255,255,255,77.5,202.5,,,,,
20,177,255,255,255,441.5,203.5,,,,,
21,177,255,255,255,594.5,220.5,,,,,
22,177,255,255,255,149.5,252.5,,,,,
23,177,255,255,255,751.5,267.5,,,,,
24,177,255,255,255,916.5,271.5,,,,,
25,177,255,255,255,451.5,273.5,,,,,
26,177,255,255,255,30.5,280.5,,,,,
27,177,255,255,255,541.5,292.5,,,,,
28,177,255,255,255,207.5,305.5,,,,,
29,177,255,255,255,860.5,316.5,,,,,
30,177,255,255,255,642.5,318.5,,,,,
31,177,255,255,255,735.5,340.5,,,,,
32,177,255,255,255,41.5,351.5,,,,,
33,177,255,255,255,531.5,367.5,,,,,
34,177,255,255,255,349.5,374.5,,,,,
35,177,255,255,255,671.5,395.5,,,,,
36,177,255,255,255,160.5,417.5,,,,,
37,177,255,255,255,895.5,428.5,,,,,
38,177,255,255,255,249.5,463.5,,,,,
39,177,255,255,255,84.5,473.5,,,,,
40,177,255,255,255,548.5,478.5,,,,,
41,177,255,255,255,349.5,494.5,,,,,
42,177,255,255,255,610.5,506.5,,,,,
43,177,255,255,255,788.5,517.5,,,,,
44,177,255,255,255,445.5,533.5,,,,,
45,177,255,255,255,900.5,543.5,,,,,
46,177,255,255,255,189.5,548.5,,,,,
47,177,255,255,255,44.5,575.5,,,,,
48,177,255,255,255,735.5,577.5,,,,,
49,177,255,255,255,327.5,581.5,,,,,
50,177,255,255,255,549.5,584.5,,,,,
