"X.1","Area","Mean","Min","Max","X","Y","X.2","X.3","X.4","X.5","X.6","Class_random","Class_clustered","Class_even"
1,80,255,255,255,55,55,NA,NA,"","","",0,0,0
2,80,255,255,255,100,55,NA,NA,"","","",0,0,0
3,80,255,255,255,145,55,NA,NA,"","X","Y",1,0,1
4,80,255,255,255,190,55,NA,NA,"MAX","460","415",1,0,1
5,80,255,255,255,235,55,NA,NA,"MIN","55","55",0,0,0
6,80,255,255,255,280,55,NA,NA,"","","",1,0,1
7,80,255,255,255,325,55,NA,NA,"","","",1,1,0
8,80,255,255,255,370,55,NA,NA,"","","",1,1,0
9,80,255,255,255,415,55,NA,NA,"","","",1,1,0
10,80,255,255,255,460,55,NA,NA,"","","",1,1,1
11,80,255,255,255,55,145,NA,NA,"","","",1,0,0
12,80,255,255,255,100,145,NA,NA,"","","",1,0,1
13,80,255,255,255,145,145,NA,NA,"","","",1,0,0
14,80,255,255,255,190,145,NA,NA,"","","",1,0,1
15,80,255,255,255,235,145,NA,NA,"","","",1,0,0
16,80,255,255,255,280,145,NA,NA,"","","",1,0,0
17,80,255,255,255,325,145,NA,NA,"","","",0,1,1
18,80,255,255,255,370,145,NA,NA,"","","",1,1,1
19,80,255,255,255,415,145,NA,NA,"","","",0,1,1
20,80,255,255,255,460,145,NA,NA,"","","",1,1,0
21,80,255,255,255,55,235,NA,NA,"","","",1,0,1
22,80,255,255,255,100,235,NA,NA,"","","",0,0,1
23,80,255,255,255,145,235,NA,NA,"","","",0,0,0
24,80,255,255,255,190,235,NA,NA,"","","",0,0,0
25,80,255,255,255,235,235,NA,NA,"","","",0,0,1
26,80,255,255,255,280,235,NA,NA,"","","",0,0,0
27,80,255,255,255,325,235,NA,NA,"","","",1,1,1
28,80,255,255,255,370,235,NA,NA,"","","",1,1,0
29,80,255,255,255,415,235,NA,NA,"","","",1,1,1
30,80,255,255,255,460,235,NA,NA,"","","",0,1,1
31,80,255,255,255,55,325,NA,NA,"","","",0,0,0
32,80,255,255,255,100,325,NA,NA,"","","",0,0,0
33,80,255,255,255,145,325,NA,NA,"","","",0,0,0
34,80,255,255,255,190,325,NA,NA,"","","",1,0,1
35,80,255,255,255,235,325,NA,NA,"","","",0,0,1
36,80,255,255,255,280,325,NA,NA,"","","",0,0,0
37,80,255,255,255,325,325,NA,NA,"","","",0,1,1
38,80,255,255,255,370,325,NA,NA,"","","",0,1,1
39,80,255,255,255,415,325,NA,NA,"","","",1,1,0
40,80,255,255,255,460,325,NA,NA,"","","",1,1,1
41,80,255,255,255,55,415,NA,NA,"","","",0,0,1
42,80,255,255,255,100,415,NA,NA,"","","",0,0,0
43,80,255,255,255,145,415,NA,NA,"","","",1,0,0
44,80,255,255,255,190,415,NA,NA,"","","",0,0,1
45,80,255,255,255,235,415,NA,NA,"","","",1,0,1
46,80,255,255,255,280,415,NA,NA,"","","",0,0,1
47,80,255,255,255,325,415,NA,NA,"","","",1,1,0
48,80,255,255,255,370,415,NA,NA,"","","",1,1,1
49,80,255,255,255,415,415,NA,NA,"","","",0,1,1
50,80,255,255,255,460,415,NA,NA,"","","",1,1,0
